lat,lon
33.785777,-84.411518
33.785801, -84.411174
33.785807, -84.410798
33.785813, -84.410639
33.785820, -84.410435
33.785835, -84.410250
33.785863, -84.410069
33.785909, -84.409891
33.785967, -84.409588
33.786019, -84.409432
33.786100, -84.409121
33.786179, -84.408790
33.786209, -84.408520
33.786233, -84.408248
33.786242, -84.407865
