,0,1,2,3,4,5,6,7,8,9
33.785777_-84.411518_0,0.0510400390625,,,,,0.37686279296875,0.57209716796875,,,
33.785777_-84.411518_180,0.09728271484375,,,,,0.32105224609375,0.5816650390625,,,
33.785777_-84.411518_270,0.00121826171875,8.056640625e-05,3.90625e-05,,,0.454326171875,0.5443359375,,,
33.785777_-84.411518_90,0.0196484375,,0.01699951171875,,,0.35784912109375,0.6055029296875,,,
33.785801_-84.411174_0,0.00602783203125,,0.03372314453125,,,0.2612060546875,0.69904296875,,,
33.785801_-84.411174_180,0.02123291015625,,0.0262109375,,,0.12524169921875,0.827314453125,,,
33.785801_-84.411174_270,0.00547607421875,,0.03990966796875,,,0.39880859375,0.5558056640625,,,
33.785801_-84.411174_90,0.00425048828125,,0.02134765625,,,0.33435791015625,0.6400439453125,,,
33.785807_-84.410798_0,0.03745361328125,,,,,0.2624169921875,0.70012939453125,,,
33.785807_-84.410798_180,0.07346923828125,,,,,0.3315478515625,0.59498291015625,,,
33.785807_-84.410798_270,0.00237548828125,,0.0270166015625,,,0.4234228515625,0.54718505859375,,,
33.785807_-84.410798_90,0.00041259765625,,0.01525146484375,,,0.36614013671875,0.61819580078125,,,
33.785813_-84.410639_0,0.03099853515625,,,,,0.27180908203125,0.6971923828125,,,
33.785813_-84.410639_180,0.06210205078125,,,,,0.33160888671875,0.6062890625,,,
33.785813_-84.410639_270,0.01471435546875,,,,0.0007470703125,0.42484375,0.55969482421875,,,
33.785813_-84.410639_90,0.01118896484375,,9.765625e-06,,,0.365302734375,0.62349853515625,,,
33.78582_-84.410435_0,0.06898193359375,,,,,0.29734619140625,0.633671875,,,
33.78582_-84.410435_180,0.0831640625,,,,,0.31379150390625,0.60304443359375,,,
33.78582_-84.410435_270,0.01311767578125,,0.00058837890625,,,0.4346240234375,0.551669921875,,,
33.78582_-84.410435_90,0.02955078125,,,0.00015625,,0.37272216796875,0.59757080078125,,,
33.785835_-84.41025_0,0.16528564453125,,,,,0.13467529296875,0.7000390625,,,
33.785835_-84.41025_180,0.01578857421875,,0.01033935546875,,,0.41103759765625,0.56283447265625,,,
33.785835_-84.41025_270,0.07659912109375,,0.05908447265625,,0.0020263671875,0.308818359375,0.5534716796875,,,
33.785835_-84.41025_90,0.06337646484375,,,0.00486328125,,0.3163525390625,0.61540771484375,,,
33.785863_-84.410069_0,0.0271240234375,,,,,0.3588720703125,0.61400390625,,,
33.785863_-84.410069_180,,,,0.08835693359375,,,0.91164306640625,,,
33.785863_-84.410069_270,0.0118994140625,,,,,0.3950732421875,0.59302734375,,,
33.785863_-84.410069_90,0.00372802734375,,,0.0009130859375,,0.2891455078125,0.70621337890625,,,
33.785909_-84.409891_0,0.0317236328125,,,0.0004345703125,,0.3384033203125,0.6294384765625,,,
33.785909_-84.409891_180,0.0613037109375,,0.00624755859375,0.0005029296875,,0.01213623046875,0.9198095703125,,,
33.785909_-84.409891_270,0.0046875,,,,,0.36137939453125,0.63393310546875,,,
